,0
768,1294316
769,34723507
770,31984269
771,12875706
772,3805511
773,4305909
774,3709444
775,4221897
776,26336896
777,3829648
778,30730550
779,18801754
780,15253709
781,3687859
782,4528935
783,30739579
784,30632103
785,34546612
786,3573995
787,25174877
788,10112783
789,4696883
790,16383365
791,12173777
792,1933117
793,4664040
794,21783209
795,2189055
796,34561198
797,32915814
798,29962745
799,15251381
800,34119970
801,3859761
802,4507425
803,3826911
804,31503480
805,4683823
806,31982505
807,5008918
808,34864682
809,1074677
810,34334630
811,4449754
812,2149388
813,34539352
814,4606480
815,3820100
816,1182041
817,1231752
818,4490657
819,12828224
820,34305383
821,6415100
822,4307061
823,2722522
824,25595191
825,4490264
826,34491908
827,32378025
828,31753822
829,34422889
830,34226962
831,6811243
832,33009886
833,2500612
834,4459910
835,16336258
836,2331606
837,4440532
838,34766510
839,3901323
840,4479646
841,34468775
842,23745458
843,34738210
844,34335736
845,4620570
846,4430037
847,31465156
848,2838339
849,33354556
850,23511812
851,24849096
852,33951178
853,30919484
854,4490141
855,4177188
856,4161490
857,9169111
858,26537440
859,17905568
860,4318016
861,30641879
862,29203828
863,30680409
864,2722015
865,31124202
866,4414727
867,32066174
868,34461766
869,8378181
870,4652156
871,24308906
872,33056730
873,34856732
874,4451826
875,34796699
876,27606276
877,3917930
878,4539671
879,4153375
880,34065695
881,3987466
882,26988490
883,34380605
884,2668592
885,24542351
886,12460590
887,4536523
888,4357726
889,4099067
890,32284987
891,1095105
892,15232137
893,33943595
894,4414436
895,34542420
896,4283024
897,3561037
898,3614932
899,16272639
900,21396121
901,28678122
902,1512121
903,23704071
904,10853956
905,1212283
906,34662474
907,4580594
908,33125660
909,29781352
910,15433811
911,4585589
912,16983337
913,33859395
914,31566952
915,15171863
916,34705141
917,33469654
918,3145991
919,31246778
920,2368719
921,3515982
922,27840950
923,34136031
924,34428548
925,27814404
926,34706905
927,34010592
928,34549424
929,32466633
930,23415217
931,19865825
932,31724006
933,1056719
934,13015094
935,8895409
936,34932746
937,31464010
938,4429699
939,4230271
940,34888273
941,6051702
942,31284394
943,4385758
944,30330241
945,1934320
946,34377076
947,4274587
948,9763522
949,2453586
950,33967316
951,33925742
952,33236430
953,4600584
954,1549562
955,34253015
956,26873934
957,28820509
958,33844753
959,2758781
960,4641742
961,18064785
962,6492388
963,34810755
964,33647720
965,3694849
966,8764518
967,4017642
968,10688862
969,8284141
970,3957474
971,13048393
972,28826936
973,30941011
974,30818470
975,18771155
976,4003565
977,31235457
978,22565918
979,1195743
980,22051801
981,34382926
982,4421304
983,4481887
984,11560518
985,27690945
986,4522993
987,4498936
988,9026093
989,31007706
990,7999607
991,33537025
992,34587737
993,20873181
994,34710717
